category,item,source1,source1_link,source1_affiliate,source2,source2_link,source2_affiliate,source3,source3_link,source3_affilliate,V0,V1,V2,SW,VL,comments
Fasteners,M3 T-nut HNTAJ5-3,<del>Misumi</del>,https://us.misumi-ec.com/vona2/detail/110302247910/,,,,,,,,,,X,,,
Fasteners,M5 T-nut HNTAJ5-5,<del>Misumi</del>,https://us.misumi-ec.com/vona2/detail/110302247910/,,,,,,,,,,X,,,
Fasteners,M3 Hammer Head T-Nuts,Aliexpress,https://www.aliexpress.com/item/33023248880.html,https://s.click.aliexpress.com/e/_dSjU9WW,,,,,,,,,X,,,
Motion,GT2 Open Belt LL-2GT-6 (6mm wide) - Length Dependant on Config,Trianglelab,https://www.aliexpress.com/item/GATES-LL-2GT-3D-printer-gear-synchronous-belt-GT2-Width-6MM-9MM-High-quality-wear-resistant/32853559638.html,http://s.click.aliexpress.com/e/2pncOJKs,,,,,,,,,X,,,
Motion,GT2 Open Belt LL-2GT-9 (9mm wide) - Length Dependant on Config,Trianglelab,https://www.aliexpress.com/item/GATES-LL-2GT-3D-printer-gear-synchronous-belt-GT2-Width-6MM-9MM-High-quality-wear-resistant/32853559638.html,http://s.click.aliexpress.com/e/2pncOJKs,,,,,,,,,X,,,
Motion,GT2 Belt Loop (6mm wide) - 188mm,POWGE,,,,,,,,,,,X,,,
Motion,GT2 20T (6mm wide) Pulley (5mm bore),POWGE,,,,,,,,,,,X,,,
Motion,GT2 16T (6mm wide) Pulley (5mm bore),POWGE,,,,,,,,,,,X,,,
Motion,GT2 20T (9mm wide) Pulley (5mm bore),POWGE,,,,,,,,,,,X,,,
Motion,GT2 20T (6mm wide) Toothed Idler (5mm bore),POWGE,,,,,,,,,,,X,,,
Motion,GT2 20T (9mm wide) Toothed Idler (5mm bore),POWGE,,,,,,,,,,,X,,,
Motion,GT2 80T (6mm wide) Pulley (5mm bore),POWGE,,,,,,,,,,,X,,,
Motion,F695 2RS Bearing,RainDew,,,,,,,,,,,X,,,
Motion,625 2RS Bearing,RainDew,,,,,,,,,,,X,,,
Motion,5x60mm Shaft - Grind Flat,linkcnc,,,,,,,,,,,X,,,
Motion,5x30mm Shaft,linkcnc,,,,,,,,,,,X,,,
Motion,Linear Rail MGN9H ** See Configurator for length **,RobotDigg (Black Stainless Rails),,,,,,,,,,,X,,,
,,RobotDigg (Black Stainless Rails),,,,,,,,,,,X,,,
,,RobotDigg (Black Stainless Rails),,,,,,,,,,,X,,,
Vibration Management,Rubber Compressor Foot,Amazon,,,,,,,,,,,X,,,
Electronics,Omron Mouse Button - Micro Switch,Digikey,,,,,,,,,,,X,,,
Electronics,PL-08N Inductive Probe,Zhongde,,,,,,,,,,,X,,,
Electronics,BAT85 Diode,DigiKey,,,,,,,,,,,X,,,
Electronics,Omron G3NA-210B-DC5 (10A) or Crydom D2425 (25A) or Crydom 84134000 (10A) SSR,Digikey (Omron),,,,,,,,,,,X,,,
Electronics,NEMA17 Motor 17HS19-2004S,Stepper Online,,,,,,,,,,,X,,,
Electronics,Mean Well LRS-200-24 PSU,Digikey,,,,,,,,,,,X,,,
Electronics,Mean Well RS-25-5 PSU,Digikey,,,,,,,,,,,X,,,
Electronics,ZF - Rocker Switches DPST 16A ON-OFF,Digikey (no Light),,,,,,,,,,,X,,,
Electronics,Fuse Medium Time Delay Acting 8A 250V Holder Cartridge 5 X 20mm Glass,Digikey,,,,,,,,,,,X,,,
Electronics,TycoElectronics - 10EGG1-2 (Normal) or 10EHG1-2 (Medical): Filtered Power Inlet,Digikey,,,,,,,,,,,X,,,
Electronics,IEC320 C14 Inlet - Push-fit - w/ Rocker Switch & Fuse,See note for PiF Digikey,,,,,,,,,,,X,,,
Electronics,40x40x10 Axial Fan- Ball Bearing (24V),GDSTIME,,,,,,,,,,,X,,,
Electronics,40x40x20 Centrifugal Blower Fan - Ball Bearing (24V),GDSTIME,,,,,,,,,,,X,,,
Electronics,60x60x20 Axial Fan (24V),DigiKey,,,,,,,,,,,X,,,
Electronics,Thermal Fuse,AliExpress,,,,,,,,,,,X,,,
Controller,RaspberryPi4,Arrow,,,,,,,,,,,X,,,
Controller,MicroSD Card,Amazon (64gb),,,,,,,,,,,X,,,
Controller,USB C Power Cable,Amazon,,,,,,,,,,,X,,,
Controller,SKR 1.3,BIGTREETECH,,,,,,,,,,,X,,,
Controller,TMC2209 Stepper Motor Driver,BIGTREETECH,,,,,,,,,,,X,,,
Controller,USB Cable A-male B-male (Included with SKR),,,,,,,,,,,,X,,,
Controller,Mini 12864 Display (Type B),Fysetc,,,,,,,,,,,X,,,
Frame,OpenBuilds Angle Corner Connector,OpenBuilds,,,,,,,,,,,X,,,
Frame,Misumi HFSB5-2020 (Size depends - use configurator),Misumi,,,,,,,,,,,X,,,
,,,,,,,,,,,,,X,,,
,,,,,,,,,,,,,X,,,
Misc,"Bowden Tube (4mm OD, ID depends on extruder type)",Aliexpress,,,,,,,,,,,X,,,
Misc,6mm x 3mm Round Neodymium Magnets,Aliexpress,,,,,,,,,,,X,,,
Misc,Bowden Coupler (for 4mm OD tube),E3D (1.75mm),,,,,,,,,,,X,,,
Misc,Foam Panel Tape (5mm wide/1mm thick),Aliexpress,,,,,,,,,,,X,,,
Cables,Fork Spade Terminal,Digikey,,,,,,,,,,,X,,,
Cables,Insulated Crimp Receptical,Digikey,,,,,,,,,,,X,,,
Cables,"Nylon Cable Ties 4""",Amazon,,,,,,,,,,,X,,,
Cables,MicroFit3 Male Pin (43031-0007),Digikey,,,,,,,,,,,X,,,
Cables,MicroFit3 Female Pin (43030-0007),Digikey,,,,,,,,,,,X,,,
Cables,MicroFit Connector Receptacle 4 Position (43645-0400),Digikey,,,,,,,,,,,X,,,
Cables,MicroFit Connector Receptacle 3 Position (43645-0300),Digikey,,,,,,,,,,,X,,,
Cables,MicroFit Connector Receptacle 2 Position (43645-0200),Digikey,,,,,,,,,,,X,,,
Cables,MicroFit Connector Plug 4 Position (43640-0401),Digikey,,,,,,,,,,,X,,,
Cables,MicroFit Connector Plug 3 Position (43640-0301),Digikey,,,,,,,,,,,X,,,
Cables,MicroFit Connector Plug 2 Position (43640-0201),Digikey,,,,,,,,,,,X,,,
Cables,MLX Power Receptacle 3 Position (50-84-2030),Digikey,,,,,,,,,,,X,,,
Cables,MLX Power Plug 3 Position (50-84-1030),Digikey,,,,,,,,,,,X,,,
Cables,MLX Male Pin (02-08-2004),Digikey,,,,,,,,,,,X,,,
Cables,MLX Female Pin (02-08-1002),Digikey,,,,,,,,,,,X,,,
Cables,JST-XH Female Pin,Aliexpress,,,,,,,,,,,X,,,
Cables,JST-XH Connector Plug 4 Position,,,,,,,,,,,,X,,,
Cables,JST-XH Connector Plug 3 Position,,,,,,,,,,,,X,,,
Cables,JST-XH Connector Plug 2 Position,,,,,,,,,,,,X,,,
Cables,24AWG Silicone Cable (220ft total),Striveday,,,,,,,,,,,X,,,
Cables,20AWG Silicone Cable (10ft total),,,,,,,,,,,,X,,,
Cables,IGUS E2-15-10-028-0 Chain,,,,,,,,,,,,X,,,
Cables,IGUS E2-150-10-12PZ Chain Ends,,,,,,,,,,,,X,,,
Cables,IGUS E2i-10-10-018-0 Chain,,,,,,,,,,,,X,,,
Cables,IGUS E2i-100-10-12PZ Chain Ends,,,,,,,,,,,,X,,,
Panels,Bottom/Back/Electronics Bay Panels,Michaels Craft Store (Coroplast),,,,,,,,,,,X,,,
Panels,Side/Front/Top Acrylic Panels,TAP Plastics (Acrylic),,,,,,,,,,,X,,,
Buildplate,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc),,,,,,,,,,,,X,,, (5/16in or 8mm depending on whats available in your country)
Buildplate,Silicone AC Heater 200x200mm,Keenovo (120v),,,,,,,,,,,X,,,
,Silicone AC Heater 240x240mm,Keenovo (120v),,,,,,,,,,,X,,,
,Silicone AC Heater 300x300mm,Keenovo (120v),,,,,,,,,,,X,,,
Buildplate,PEI + 3M 468P (200MP),CSHyde (Trim),,,,,,,,,,,X,,,
,,CSHyde,,,,,,,,,,,X,,,
,,CSHyde,,,,,,,,,,,X,,,
